,road,town,location,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc,vehicles_parsed,accident_types_parsed,hospital_parsed,injuries_parsed,brands_parsed,hour,num_vehicles,num_brands,month,year,has_motorcycle,has_car,has_pedestrian,has_van,injury_severity,is_grievous,day_num,is_weekend,severity_label
101,Triq is-Sorijiet,Ħal Tarxien,"('Triq is-Sorijiet', 'Ħal Tarxien')","['Car', 'Vehicle']","['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Fiat', 'Hyundai']",Sunday,01:30,25,35.8648857,14.5114877,11.6239996,0,0,0,3360,4.896529675,306.0274658,95,0,38.88000107,18.07544136,140.7910156,2025-02-09 22:00:00+00:00,"['Car', 'Vehicle']","['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Fiat', 'Hyundai']",1.5,2,2,2,2025,0,1,0,0,3,1,6,1,Grievous
102,Triq Marsaxlokk,Marsaxlokk,"('Triq Marsaxlokk', 'Marsaxlokk')",['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Sunday,08:00,35,35.8417662,14.5448353,17.28649902,0,0,0,34580,23.23325157,130.6012115,3,0,44.63999557,24.19510651,140.5768585,2025-04-13 22:00:00+00:00,['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],8,1,1,4,2025,0,1,0,0,3,1,6,1,Grievous
103,Attard Road,Ħaż-Żebbuġ,"('Attard Road', 'Ħaż-Żebbuġ')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Peugeot', 'Benelli']",Wednesday,18:30,32,35.8725956,14.4398593,25.8864994,0,0,0,14720,9.793059349,143.9725342,2,0,32.76000214,14.61883736,162.8661652,2025-08-27 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Peugeot', 'Benelli']",18.5,2,2,8,2025,1,1,0,0,3,1,2,0,Grievous
104,Triq Rodolfu,Tas-Sliema,"('Triq Rodolfu', 'Tas-Sliema')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Dacia', 'Kymco']",Thursday,18:00,47,35.9127609,14.5020708,14.4800005,0,0,0,29940,9.832679749,246.2504883,3,0,45.71999741,19.61586952,228.7254791,2025-01-23 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Dacia', 'Kymco']",18,2,2,1,2025,1,1,0,0,3,1,3,0,Grievous
105,Pinto Wharf,Floriana,"('Pinto Wharf', 'Floriana')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Serious'],['Toyota'],Sunday,13:15,57,35.8929838,14.5052716,25.37150002,0,0,0,50320,3.758510351,253.3006744,2,0,24.84000015,11.29849529,324.3600464,2025-06-22 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Serious'],['Toyota'],13.25,2,1,6,2025,0,1,1,0,2,0,6,1,Serious
106,Vjal L-Istadium Nazzjonali in Ta' Qali,Ħ'Attard,"(""Vjal L-Istadium Nazzjonali in Ta' Qali"", ""Ħ'Attard"")",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Kymco'],Wednesday,09:00,52,35.8909172,14.4430093,12.59449959,0,0,0,5660,6.877789974,96.00891876,3,0,27.71999931,13.27614403,74.12752533,2025-02-05 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Kymco'],9,1,1,2,2025,1,0,0,0,3,1,2,0,Grievous
107,Triq il-Ġermanja,In-Naxxar,"('Triq il-Ġermanja', 'In-Naxxar')",['Car'],['Accident'],['Mater Dei'],[],['Toyota'],Thursday,10:45,78,35.9133396,14.4432851,14.86900043,0,0,0,43520,11.440979,245.8544617,3,0,39.95999908,20.6741581,282.5617371,2024-12-19 22:00:00+00:00,['Car'],['Accident'],['Mater Dei'],[],['Toyota'],10.75,1,1,12,2024,0,1,0,0,0,0,3,0,None/Unknown
108,Vjal il-Helsien,Ħaż-Żebbuġ,"('Vjal il-Helsien', 'Ħaż-Żebbuġ')",['Motorcycle'],['Accident'],['Mater Dei'],"['Grievous', 'Sustained', 'Slight']",['Peugeot'],Sunday,08:00,68,35.8725956,14.4398593,13.83650017,0,0,0,33520,10.51421833,308.0470886,3,0,53.63999557,23.44150162,313.7016907,2025-03-16 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],"['Grievous', 'Sustained', 'Slight']",['Peugeot'],8,1,1,3,2025,1,0,0,0,3,1,6,1,Grievous
109,Triq il-Wied ta' Birkirkara,Birkirkara,"(""Triq il-Wied ta' Birkirkara"", 'Birkirkara')","['Car', 'Scooter']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Mazda'],Friday,22:15,41,35.8994577,14.4649552,25.7765007,0,0,0,15260,4.896529198,17.10282516,2,0,40.68000031,19.17485619,317.6521301,2025-07-18 22:00:00+00:00,"['Car', 'Scooter']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Mazda'],22.25,2,1,7,2025,0,1,0,0,3,1,4,0,Grievous
110,St Luke's Square,Tal-Pieta',"(""St Luke's Square"", ""Tal-Pieta'"")",['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Volkswagen', 'Mercedes']",Tuesday,07:00,62,35.892353,14.4934881,25.3125,0,0,0,20080,3.893995285,326.309906,1,0,25.19999886,12.31389427,19.48621941,2025-08-12 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Volkswagen', 'Mercedes']",7,1,2,8,2025,0,1,0,0,3,1,1,0,Grievous
