,road,town,location,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc,vehicles_parsed,accident_types_parsed,hospital_parsed,injuries_parsed,brands_parsed,hour,num_vehicles,num_brands,month,year,has_motorcycle,has_car,has_pedestrian,has_van,injury_severity,is_grievous,day_num,is_weekend,severity_label
23,Triq Għar Dalam,Birżebbuġa,"('Triq Għar Dalam', 'Birżebbuġa')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Peugeot']",Wednesday,13:15,23,35.8269478,14.5274189,19.44750023,0,0,0,44160,7.594207287,5.440250397,3,0,29.87999916,16.45006943,10.18234062,2025-05-07 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Peugeot']",13.25,1,2,5,2025,1,0,0,0,3,1,2,0,Grievous
24,Triq Diċembru Tlettax,Il-Marsa,"('Triq Diċembru Tlettax', 'Il-Marsa')",['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Friday,07:45,36,35.882892,14.4944898,14.29249954,0,0,0,58540,9.06456852,6.842679024,80,0,38.15999985,16.70415497,28.72364044,2024-12-27 22:00:00+00:00,['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],7.75,1,1,12,2024,0,1,0,0,3,1,4,0,Grievous
25,December 13 Road,Il-Marsa,"('December 13 Road', 'Il-Marsa')",['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Kymco'],Sunday,14:30,43,35.882892,14.4944898,19.39249992,0,0,0,30020,4.452953815,104.0362701,3,0,39.95999908,19.083395,182.6517639,2025-05-04 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Kymco'],14.5,1,1,5,2025,1,0,0,0,2,0,6,1,Serious
26,Triq L-Imdina,L-Imtarfa,"('Triq L-Imdina', 'L-Imtarfa')",['Car'],['Accident'],['Mater Dei'],[],['Mercedes'],Tuesday,21:20,25,35.8915754,14.3978902,14.23600006,0,0,0,22160,14.08147717,302.4711609,3,0,39.59999847,21.26134491,214.5160522,2025-01-07 22:00:00+00:00,['Car'],['Accident'],['Mater Dei'],[],['Mercedes'],21.33333333,1,1,1,2025,0,1,0,0,0,0,1,0,None/Unknown
27,Triq Dawret il-Gudja,Il-Gudja,"('Triq Dawret il-Gudja', 'Il-Gudja')","['Car', 'Vehicle', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Suzuki', 'Renault', 'Hyundai']",Sunday,23:00,49,35.8483258,14.5030882,22.40049934,0,0,0,40480,9.746630669,265.7636719,3,0,44.63999557,17.87355614,249.6039429,2025-10-05 22:00:00+00:00,"['Car', 'Vehicle', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Suzuki', 'Renault', 'Hyundai']",23,3,3,10,2025,1,1,0,0,3,1,6,1,Grievous
28,Xatt l-Għassara tal-Għeneb,Il-Marsa,"('Xatt l-Għassara tal-Għeneb', 'Il-Marsa')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Ford']",Wednesday,07:30,39,35.882892,14.4944898,21.39249992,0,0,0,29300,7.92817688,129.4724274,0,0,45,17.28374863,136.4961395,2025-06-04 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Ford']",7.5,2,2,6,2025,1,1,0,0,3,1,2,0,Grievous
29,Triq il-Mina ta' Hompesch,Ħaż-Żabbar,"(""Triq il-Mina ta' Hompesch"", 'Ħaż-Żabbar')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Serious', 'Suffering']",['Toyota'],Wednesday,23:30,52,35.8753368,14.5374788,24.82150078,0,0,0,9220,4.51078701,298.6103516,2,0,29.87999916,12.53813362,324.0210571,2025-09-17 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Serious', 'Suffering']",['Toyota'],23.5,2,1,9,2025,0,1,1,0,2,0,2,0,Serious
30,Triq Burmarrad,San Pawl Il-Baħar,"('Triq Burmarrad', 'San Pawl Il-Baħar')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Mazda', 'Piaggio']",Friday,13:30,31,35.9480742,14.3973929,14.69699955,0,0,0,42260,4.82990694,206.5649872,3,0,37.79999924,21.21863174,267.0517883,2025-04-18 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Mazda', 'Piaggio']",13.5,2,2,4,2025,1,1,0,0,3,1,4,0,Grievous
31,Triq iż-Żejfa,Il-Mosta,"('Triq iż-Żejfa', 'Il-Mosta')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Indian', 'Kia', 'Suzuki']",Monday,18:00,34,35.9079178,14.4241508,26.56800079,0,0,0,48620,5.692099571,198.4350433,2,0,34.91999817,18.53213501,235.9390411,2025-07-07 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Indian', 'Kia', 'Suzuki']",18,2,3,7,2025,1,1,0,0,0,0,0,0,None/Unknown
32,Barrani Road,Iż-Żejtun,"('Barrani Road', 'Iż-Żejtun')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Mazda']",Thursday,09:30,46,35.853701,14.53153,13.50650024,0,0,0,29360,6.21456337,259.9920959,3,0,60.12000275,27.11734581,281.5909119,2025-04-17 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Mazda']",9.5,2,2,4,2025,1,1,0,0,3,1,3,0,Grievous
33,Regional Road,Santa Venera,"('Regional Road', 'Santa Venera')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Toyota']",Thursday,17:45,22,35.8897878,14.4802386,19.05850029,0,0,0,21720,9,270,95,6.600000381,74.15999603,28.82923317,145.3994904,2025-05-15 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Toyota']",17.75,2,2,5,2025,1,1,0,0,3,1,3,0,Grievous
34,Triq L-Imdina,Ħaż-Żebbuġ,"('Triq L-Imdina', 'Ħaż-Żebbuġ')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Renault']",Sunday,22:00,57,35.8725956,14.4398593,25.43649864,0,0,0,46160,4.024922371,259.6952209,2,0,25.19999886,11.18320084,303.0238037,2025-06-22 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Renault']",22,2,2,6,2025,1,1,0,0,3,1,6,1,Grievous
35,Triq San Pawl,San Pawl Il-Baħar,"('Triq San Pawl', 'San Pawl Il-Baħar')",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Voge'],Tuesday,19:30,44,35.9480742,14.3973929,24.09700012,0,0,0,21220,3.599999905,233.1300201,45,0,22.68000031,10.9489727,258.4208069,2025-09-16 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Voge'],19.5,1,1,9,2025,1,0,0,0,3,1,1,0,Grievous
36,Triq San Pawl,In-Naxxar,"('Triq San Pawl', 'In-Naxxar')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Smart'],Tuesday,09:00,87,35.9133396,14.4432851,12.56900024,0,0,0,47180,22.26477051,309.0938416,80,0,61.19999695,30.65289497,307.6540222,2025-04-01 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Smart'],9,2,1,4,2025,0,1,1,0,3,1,1,0,Grievous
37,Luqa Road,Raħal Ġdid,"('Luqa Road', 'Raħal Ġdid')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Nissan'],Tuesday,16:00,75,35.8717994,14.5073748,24.36499977,0,0,0,11440,2.519999981,270,45,0,15.4800005,5.991593838,312.750824,2025-08-19 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Nissan'],16,2,1,8,2025,0,1,1,0,3,1,1,0,Grievous
38,Triq Marsalforn,Ħaż-Żebbuġ,"('Triq Marsalforn', 'Ħaż-Żebbuġ')",['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Toyota'],Wednesday,08:00,82,35.8725956,14.4398593,23.18649864,0,0,0,5000,5.692099094,325.3047791,80,0,33.83999634,15.97848606,205.8209381,2025-09-24 22:00:00+00:00,['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Toyota'],8,1,1,9,2025,0,1,0,0,3,1,2,0,Grievous
39,in Mikiel Anton Vassalli Street,Birkirkara,"('in Mikiel Anton Vassalli Street', 'Birkirkara')",['Motorcycle'],['Accident'],['Mater Dei'],[],['Honda'],Friday,20:15,36,35.8994577,14.4649552,15.82649994,0,0,0,19480,12.72792149,331.2602844,3,0,52.91999817,25.36403656,298.982666,2025-01-24 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],[],['Honda'],20.25,1,1,1,2025,1,0,0,0,0,0,4,0,None/Unknown
40,Valley Road,L-Iklin,"('Valley Road', 'L-Iklin')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Keeway', 'Toyota']",Saturday,00:00,42,35.911112,14.4521273,12.1704998,0,0,0,45180,23.66435242,283.1906128,81,1.299999952,57.23999786,26.64972687,267.1525879,2025-02-15 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Keeway', 'Toyota']",0,2,2,2,2025,1,1,0,0,3,1,5,1,Grievous
41,Triq Ħompesch,Il-Fgura,"('Triq Ħompesch', 'Il-Fgura')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Chevrolet'],Thursday,18:00,32,35.8728325,14.520799,12.80200005,0,0,0,25020,10.48335743,105.9454651,80,0,31.31999779,14.14575577,107.5980988,2025-02-20 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Chevrolet'],18,2,1,2,2025,1,1,0,0,3,1,3,0,Grievous
42,Triq Sant'Antnin,Marsaskala,"(""Triq Sant'Antnin"", 'Marsaskala')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Mazda'],Sunday,09:45,75,35.8629162,14.5591879,11.87099934,0,0,0,3360,4.896529675,306.0274658,95,0,38.88000107,18.07544136,140.7910156,2025-02-09 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Mazda'],9.75,2,1,2,2025,0,1,1,0,3,1,6,1,Grievous
43,Triq Sant'Andrija,Raħal Ġdid,"(""Triq Sant'Andrija"", 'Raħal Ġdid')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],[],"['Honda', 'Bmw']",Saturday,01:00,27,35.8717994,14.5073748,27.21500015,0,0,0,52580,23.42490768,316.2452698,2,0,52.19999695,24.52231407,292.0016479,2025-07-26 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],[],"['Honda', 'Bmw']",1,1,2,7,2025,1,0,0,0,0,0,5,1,None/Unknown
44,Triq Borġ Għarib,Għajnsielem,"('Triq Borġ Għarib', 'Għajnsielem')",['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Renault'],Wednesday,21:15,22,36.0288642,14.2871759,26.12000084,0,0,0,21020,2.741678238,336.8013916,2,0,20.15999985,9.47012043,303.6900635,2025-07-02 22:00:00+00:00,['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Renault'],21.25,1,1,7,2025,0,1,0,0,3,1,2,0,Grievous
45,Triq Mikiel Anton Vassalli,San Ġiljan,"('Triq Mikiel Anton Vassalli', 'San Ġiljan')","['Motorcycle', 'Van', 'Vehicle', 'Bus', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Ford', 'Van']",Monday,10:30,37,35.9199225,14.4877119,10.98650074,0,0,0,46180,21.9953804,291.1049194,80,0.600000024,90,35.40650558,277.9156189,2024-12-23 22:00:00+00:00,"['Motorcycle', 'Van', 'Vehicle', 'Bus', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Ford', 'Van']",10.5,5,2,12,2024,1,1,0,1,2,0,0,0,Serious
46,D' Argens Street,Il-Gżira,"(""D' Argens Street"", 'Il-Gżira')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Ford', 'Mazda']",Saturday,05:00,34,35.9077803,14.4961247,16.16449928,0,0,0,40460,22.91591644,133.7270508,3,0,55.79999924,22.97521973,127.063736,2025-02-01 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Ford', 'Mazda']",5,2,3,2,2025,1,1,0,0,3,1,5,1,Grievous
47,Giorgio Borg Olivier Street,Ir-Rabat,"('Giorgio Borg Olivier Street', 'Ir-Rabat')","['Car', 'Motorcycle']",['Accident'],['Gozo General Hospital'],['Serious'],"['Victoria', 'Kia']",Monday,12:45,21,35.8818906,14.3988213,12.05150032,0,0,0,22100,3.545588732,246.0375061,3,0,24.11999893,11.98318768,272.5733032,2025-02-17 22:00:00+00:00,"['Car', 'Motorcycle']",['Accident'],['Gozo General Hospital'],['Serious'],"['Victoria', 'Kia']",12.75,2,2,2,2025,1,1,0,0,2,0,0,0,Serious
48,"Coast Road in Naxxar.Preliminary investigations by the District Police found that a collision occurred between a Volvo double decker and a Jaguar XF. The Jaguar was being driven by an 81-year-old man from Zebbug who was accompanied by an 80-year-old woman, also from Zebbug. The double decker was being driven by a 39-year-old Kenyan national who lives",Iż-Żurrieq,"('Coast Road in Naxxar.Preliminary investigations by the District Police found that a collision occurred between a Volvo double decker and a Jaguar XF. The Jaguar was being driven by an 81-year-old man from Zebbug who was accompanied by an 80-year-old woman, also from Zebbug. The double decker was being driven by a 39-year-old Kenyan national who lives', 'Iż-Żurrieq')",['Car'],"['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Jaguar', 'Volvo']",Sunday,15:15,81,35.8294676,14.4745172,16.61700058,0,0,0,34580,23.23325157,130.6012115,3,0,44.63999557,24.19510651,140.5768585,2025-04-13 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']","['Jaguar', 'Volvo']",15.25,1,2,4,2025,0,1,0,0,3,1,6,1,Grievous
49,Triq il-Fortizza tal-Mosta,In-Naxxar,"('Triq il-Fortizza tal-Mosta', 'In-Naxxar')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Daelim'],Thursday,10:15,45,35.9133396,14.4432851,13.61900043,0.600000024,0.200000003,0.400000006,35460,18.12913704,96.84268188,80,0.800000012,33.11999893,18.12913704,102.9867249,2025-01-16 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Daelim'],10.25,1,1,1,2025,1,0,0,0,3,1,3,0,Grievous
50,Kennedy Drive,San Pawl Il-Baħar,"('Kennedy Drive', 'San Pawl Il-Baħar')","['Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],['Grievous'],['Peugeot'],Thursday,21:15,21,35.9480742,14.3973929,21.24699974,0,0,0,65020,3.21993804,116.5649872,3,0,31.31999779,15.14141369,148.3451233,2025-06-05 22:00:00+00:00,"['Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],['Grievous'],['Peugeot'],21.25,2,1,6,2025,1,0,0,0,3,1,3,0,Grievous
51,Triq il-Kappella Ta' Xagħra,In-Naxxar,"(""Triq il-Kappella Ta' Xagħra"", 'In-Naxxar')","['Pedestrian', 'Car']",['Accident'],[],['Grievous'],['Hyundai'],Monday,09:30,84,35.9133396,14.4432851,19.91899872,0,0,0,75180,21.28875732,341.2585449,80,0,54,27.26747322,317.585022,2025-10-06 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],[],['Grievous'],['Hyundai'],9.5,2,1,10,2025,0,1,1,0,3,1,0,0,Grievous
52,Mosta Road,L-Imġarr,"('Mosta Road', 'L-Imġarr')",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Honda', 'Indian']",Monday,19:00,33,35.9194409,14.3665109,25.1269989,0,0,0,30140,1.527350664,135.0001068,1,0,15.4800005,7.289444923,6.775552273,2025-08-11 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Honda', 'Indian']",19,1,2,8,2025,1,0,0,0,3,1,0,0,Grievous
53,Coast Road,In-Naxxar,"('Coast Road', 'In-Naxxar')",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Bmw', 'Suzuki']",Sunday,14:30,46,35.9133396,14.4432851,14.56900024,0,0,0,25660,6.830519199,288.4350281,3,0,36.71999741,20.03748512,258.858551,2025-01-26 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Bmw', 'Suzuki']",14.5,1,2,1,2025,1,0,0,0,3,1,6,1,Grievous
54,1230 hrs in Cospicua Road,Ħaż-Żabbar,"('1230 hrs in Cospicua Road', 'Ħaż-Żabbar')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Fiat', 'Hyundai']",Thursday,11:30,48,35.8753368,14.5374788,22.9715004,0,0,0,23240,2.902412653,299.7447815,2,0,26.63999939,10.49571323,333.8825989,2025-08-07 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Fiat', 'Hyundai']",11.5,2,3,8,2025,1,1,0,0,3,1,3,0,Grievous
55,Triq il-Ħotba,Iż-Żejtun,"('Triq il-Ħotba', 'Iż-Żejtun')","['Motorcycle', 'Truck']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Indian']",Friday,12:00,62,35.853701,14.53153,14.00650024,0,0,0,58540,9.06456852,6.842679024,80,0,38.15999985,16.70415497,28.72364044,2024-12-27 22:00:00+00:00,"['Motorcycle', 'Truck']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Indian']",12,2,2,12,2024,1,0,0,0,3,1,4,0,Grievous
56,Coast Road,In-Naxxar,"('Coast Road', 'In-Naxxar')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Moto', 'Cf', 'Toyota']",Monday,16:00,44,35.9133396,14.4432851,24.5189991,0,0,0,10760,4.104631424,285.2551575,2,0,18.3599987,11.48620033,313.0870972,2025-08-18 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Moto', 'Cf', 'Toyota']",16,2,3,8,2025,1,1,0,0,2,0,0,0,Serious
57,Republic Street,Ir-Rabat,"('Republic Street', 'Ir-Rabat')","['Pedestrian', 'Car', 'Motorcycle']",['Accident'],['Gozo General Hospital'],[],"['Mazda', 'Victoria']",Tuesday,12:15,29,35.8818906,14.3988213,23.6515007,0,0,0,21560,4.198285103,300.9636841,2,0,22.68000031,11.54247761,272.3788147,2025-09-16 22:00:00+00:00,"['Pedestrian', 'Car', 'Motorcycle']",['Accident'],['Gozo General Hospital'],[],"['Mazda', 'Victoria']",12.25,3,2,9,2025,1,1,1,0,0,0,1,0,None/Unknown
58,Mikiel Anton Vassalli Street,San Ġiljan,"('Mikiel Anton Vassalli Street', 'San Ġiljan')",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Bmw'],Thursday,15:30,28,35.9199225,14.4877119,12.48650074,0,0,0,48820,6.618519306,22.38018417,3,0,30.96000099,14.40899658,1.974885702,2024-12-26 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Bmw'],15.5,1,1,12,2024,1,0,0,0,3,1,3,0,Grievous
59,,Ħal Qormi,"(None, 'Ħal Qormi')",['Motorcycle'],['Accident'],[],[],['Suzuki'],Tuesday,12:30,35,35.877464,14.4739598,19.00600052,0,0,0,35460,14.91721153,278.3255615,2,0,47.51999664,20.6741581,282.3427734,2025-05-27 22:00:00+00:00,['Motorcycle'],['Accident'],[],[],['Suzuki'],12.5,1,1,5,2025,1,0,0,0,0,0,1,0,None/Unknown
60,Triq iż-Żejfa,Ir-Rabat,"('Triq iż-Żejfa', 'Ir-Rabat')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],[],"['Peugeot', 'Bmw']",Friday,02:00,46,35.8818906,14.3988213,14.70149994,0,0,0,47240,3.70642662,209.0545044,3,0,38.88000107,22.00716209,272.3059082,2025-04-18 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],[],"['Peugeot', 'Bmw']",2,1,2,4,2025,1,0,0,0,0,0,4,0,None/Unknown
61,Aldo Moro Street,Il-Marsa,"('Aldo Moro Street', 'Il-Marsa')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Toyota']",Saturday,07:15,65,35.882892,14.4944898,19.04249954,0.100000001,0,0.100000001,30540,20.07302475,327.4500122,3,0,47.15999985,21.43738556,349.1817017,2025-05-24 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Toyota']",7.25,2,2,5,2025,1,1,0,0,3,1,5,1,Grievous
62,Triq il-Kannizzata,Ħal Balzan,"('Triq il-Kannizzata', 'Ħal Balzan')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Mazda'],Thursday,08:15,44,35.8986113,14.4510172,15.99849987,0,0,0,41760,10.13769245,253.4955597,3,0,46.79999924,20.94816399,288.0977478,2024-12-19 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Mazda'],8.25,2,1,12,2024,0,1,1,0,3,1,3,0,Grievous
63,Balal Road,San Ġwann,"('Balal Road', 'San Ġwann')","['Car', 'Truck', 'Bike']",['Accident'],['Mater Dei'],['Grievous'],['Daf'],Friday,10:45,33,35.9093052,14.4788042,14.27649975,0,0,0,42060,17.05731392,277.2749023,80,0,70.91999817,30.49818039,281.6375732,2025-03-28 22:00:00+00:00,"['Car', 'Truck', 'Bike']",['Accident'],['Mater Dei'],['Grievous'],['Daf'],10.75,3,1,3,2025,0,1,0,0,3,1,4,0,Grievous
64,Mikiel Anton Vassalli Street,L-Imsida,"('Mikiel Anton Vassalli Street', 'L-Imsida')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Smart']",Thursday,18:30,40,35.8956943,14.4891829,23.94449997,0,0,0,29500,8.121970177,257.1957397,2,0,30.23999786,12.78380203,338.4120483,2025-07-10 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Smart']",18.5,2,2,7,2025,1,1,0,0,3,1,3,0,Grievous
65,Republic Street,Ir-Rabat,"('Republic Street', 'Ir-Rabat')","['Pedestrian', 'Motorcycle']",['Accident'],['Gozo General Hospital'],['Grievous'],"['Victoria', 'Lintex']",Thursday,14:15,70,35.8818906,14.3988213,22.60149956,0,0,0,54100,5.495161057,328.3925476,3,0,29.87999916,15.11142445,325.309845,2025-09-25 22:00:00+00:00,"['Pedestrian', 'Motorcycle']",['Accident'],['Gozo General Hospital'],['Grievous'],"['Victoria', 'Lintex']",14.25,2,2,9,2025,1,0,1,0,3,1,3,0,Grievous
66,Triq ix-Xatt Ta' Xbiex,Ta' Xbiex,"(""Triq ix-Xatt Ta' Xbiex"", ""Ta' Xbiex"")","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Monday,07:45,28,35.8991087,14.4948986,24.84049988,0,0,0,44220,13.77911377,340.1446838,2,0,44.27999878,19.57618904,304.6138916,2025-08-04 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],7.75,2,1,8,2025,0,1,1,0,3,1,0,0,Grievous
67,Salini Street,In-Naxxar,"('Salini Street', 'In-Naxxar')","['Car', 'Motorcycle']",['Accident'],['Mater Dei'],"['Serious', 'Slight']","['Yamaha', 'Mercedes', 'Honda', 'Aprilia']",Sunday,09:30,31,35.9133396,14.4432851,14.46899986,0,0,0,35420,21.9953804,291.1049194,3,0,47.88000107,23.0315609,303.3807373,2024-12-22 22:00:00+00:00,"['Car', 'Motorcycle']",['Accident'],['Mater Dei'],"['Serious', 'Slight']","['Yamaha', 'Mercedes', 'Honda', 'Aprilia']",9.5,2,4,12,2024,1,1,0,0,2,0,6,1,Serious
68,Triq Tas-Sliema,Il-Gżira,"('Triq Tas-Sliema', 'Il-Gżira')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Wednesday,09:30,74,35.9077803,14.4961247,25.81450081,0,0,0,12340,3.319036007,229.3987885,2,0,23.39999962,9.504273415,313.2375793,2025-07-23 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],9.5,2,1,7,2025,0,1,1,0,3,1,2,0,Grievous
69,Triq San Anard,Ħal Tarxien,"('Triq San Anard', 'Ħal Tarxien')",['Motorcycle'],['Accident'],['Mater Dei'],"['Serious', 'Grievous']",['Kawasaki'],Thursday,04:30,40,35.8648857,14.5114877,27.72400093,0,0,0,60880,1.799999952,323.1300049,1,0,18,6.839999676,213.3885193,2025-07-24 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],"['Serious', 'Grievous']",['Kawasaki'],4.5,1,1,7,2025,1,0,0,0,3,1,3,0,Grievous
70,Triq L-Imġarr,L-Imġarr,"('Triq L-Imġarr', 'L-Imġarr')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Honda', 'Toyota']",Tuesday,15:30,54,35.9194409,14.3665109,18.8769989,0,0,0,42240,5.351784706,19.6539135,3,0,36.71999741,19.45332718,45.97967529,2025-05-06 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Honda', 'Toyota']",15.5,2,2,5,2025,1,1,0,0,2,0,1,0,Serious
71,Triq il-Kilpa,Is-Siġġiewi,"('Triq il-Kilpa', 'Is-Siġġiewi')","['Car', 'Bike']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Sunday,11:00,50,35.8539354,14.438063,12.8760004,0,0,0,8020,9.504272461,307.3040161,80,0,69.83999634,29.14221573,311.5905457,2025-02-16 22:00:00+00:00,"['Car', 'Bike']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],11,2,1,2,2025,0,1,0,0,3,1,6,1,Grievous
