town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km,injuries_list,hour,month,month_name,month_num,vehicles_list
Ir-Rabat,2025-09-16,[],False,,['Accident'],Tuesday,12:15,29,0.0,0.0,0.0,0.0,21560.0,2.0,"['Motorcycle', 'Pedestrian', 'Car']",0,21.56,[],12,2025-09-01,Sep,9,"['Motorcycle', 'Pedestrian', 'Car']"
San Ġiljan,2024-12-26,['Grievous'],False,,['Accident'],Thursday,15:30,28,0.0,0.0,0.0,0.0,48820.0,3.0,['Motorcycle'],3,48.82,['Grievous'],15,2024-12-01,Dec,12,['Motorcycle']
Ħal Qormi,2025-05-27,[],True,,['Accident'],Tuesday,12:30,35,0.0,0.0,0.0,0.0,35460.0,2.0,['Motorcycle'],0,35.46,[],12,2025-05-01,May,5,['Motorcycle']
Ir-Rabat,2025-04-18,[],False,,"['Collision', 'Accident']",Friday,02:00,46,0.0,0.0,0.0,0.0,47240.0,3.0,['Motorcycle'],0,47.24,[],2,2025-04-01,Apr,4,['Motorcycle']
Il-Marsa,2025-05-24,['Grievous'],False,,"['Collision', 'Accident']",Saturday,07:15,65,0.1000000014901161,0.0,0.1000000014901161,0.0,30540.0,3.0,"['Motorcycle', 'Car']",3,30.54,['Grievous'],7,2025-05-01,May,5,"['Motorcycle', 'Car']"
Ħal Balzan,2024-12-19,['Grievous'],False,,['Accident'],Thursday,08:15,44,0.0,0.0,0.0,0.0,41760.0,3.0,"['Pedestrian', 'Car']",3,41.76,['Grievous'],8,2024-12-01,Dec,12,"['Pedestrian', 'Car']"
San Ġwann,2025-03-28,['Grievous'],False,,['Accident'],Friday,10:45,33,0.0,0.0,0.0,0.0,42060.0,80.0,"['Bike', 'Car', 'Truck']",3,42.06,['Grievous'],10,2025-03-01,Mar,3,"['Bike', 'Car', 'Truck']"
L-Imsida,2025-07-10,['Grievous'],False,,"['Collision', 'Accident']",Thursday,18:30,40,0.0,0.0,0.0,0.0,29500.0,2.0,"['Motorcycle', 'Car']",3,29.5,['Grievous'],18,2025-07-01,Jul,7,"['Motorcycle', 'Car']"
Ir-Rabat,2025-09-25,['Grievous'],False,,['Accident'],Thursday,14:15,70,0.0,0.0,0.0,0.0,54100.0,3.0,"['Motorcycle', 'Pedestrian']",3,54.1,['Grievous'],14,2025-09-01,Sep,9,"['Motorcycle', 'Pedestrian']"
Ta' Xbiex,2025-08-04,['Grievous'],False,,['Accident'],Monday,07:45,28,0.0,0.0,0.0,0.0,44220.0,2.0,"['Pedestrian', 'Car']",3,44.22,['Grievous'],7,2025-08-01,Aug,8,"['Pedestrian', 'Car']"
In-Naxxar,2024-12-22,"['Slight', 'Serious']",False,,['Accident'],Sunday,09:30,31,0.0,0.0,0.0,0.0,35420.0,3.0,"['Motorcycle', 'Car']",2,35.42,"['Slight', 'Serious']",9,2024-12-01,Dec,12,"['Motorcycle', 'Car']"
Il-Gżira,2025-07-23,['Grievous'],False,,['Accident'],Wednesday,09:30,74,0.0,0.0,0.0,0.0,12340.0,2.0,"['Pedestrian', 'Car']",3,12.34,['Grievous'],9,2025-07-01,Jul,7,"['Pedestrian', 'Car']"
Ħal Tarxien,2025-07-24,"['Serious', 'Grievous']",False,,['Accident'],Thursday,04:30,40,0.0,0.0,0.0,0.0,60880.0,1.0,['Motorcycle'],3,60.88,"['Serious', 'Grievous']",4,2025-07-01,Jul,7,['Motorcycle']
L-Imġarr,2025-05-06,['Serious'],False,,"['Collision', 'Accident']",Tuesday,15:30,54,0.0,0.0,0.0,0.0,42240.0,3.0,"['Motorcycle', 'Car']",2,42.24,['Serious'],15,2025-05-01,May,5,"['Motorcycle', 'Car']"
Is-Siġġiewi,2025-02-16,['Grievous'],False,,['Accident'],Sunday,11:00,50,0.0,0.0,0.0,0.0,8020.0,80.0,"['Bike', 'Car']",3,8.02,['Grievous'],11,2025-02-01,Feb,2,"['Bike', 'Car']"
Iż-Żejtun,2025-02-04,['Grievous'],False,,"['Collision', 'Accident']",Tuesday,11:30,58,0.0,0.0,0.0,0.0,34580.0,3.0,"['Motorcycle', 'Car']",3,34.58,['Grievous'],11,2025-02-01,Feb,2,"['Motorcycle', 'Car']"
Is-Siġġiewi,2025-07-10,['Grievous'],False,,['Accident'],Thursday,06:30,78,0.0,0.0,0.0,0.0,33400.0,2.0,"['Pedestrian', 'Car']",3,33.4,['Grievous'],6,2025-07-01,Jul,7,"['Pedestrian', 'Car']"
Il-Gżira,2025-09-05,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Friday,18:15,24,0.0,0.0,0.0,0.0,12360.0,2.0,['Motorcycle'],3,12.36,"['Slight', 'Grievous']",18,2025-09-01,Sep,9,['Motorcycle']
Birżebbuġa,2025-04-14,['Grievous'],False,,"['Collision', 'Accident']",Monday,17:45,41,0.0,0.0,0.0,0.0,26520.0,3.0,['Car'],3,26.52,['Grievous'],17,2025-04-01,Apr,4,['Car']
In-Naxxar,2025-07-24,[],False,,['Accident'],Thursday,10:15,65,0.0,0.0,0.0,0.0,54920.0,0.0,['Motorcycle'],0,54.92,[],10,2025-07-01,Jul,7,['Motorcycle']
Il-Ħamrun,2025-05-12,['Grievous'],False,,"['Collision', 'Accident']",Monday,09:45,62,0.0,0.0,0.0,0.0,20300.0,3.0,"['Motorcycle', 'Car']",3,20.3,['Grievous'],9,2025-05-01,May,5,"['Motorcycle', 'Car']"
Raħal Ġdid,2025-02-04,['Grievous'],False,,['Accident'],Tuesday,19:00,68,0.0,0.0,0.0,0.0,34580.0,3.0,"['Pedestrian', 'Car']",3,34.58,['Grievous'],19,2025-02-01,Feb,2,"['Pedestrian', 'Car']"
Iż-Żejtun,2025-01-15,[],False,,"['Collision', 'Accident']",Wednesday,07:45,21,0.2000000029802322,0.0,0.2000000029802322,0.0,5960.0,80.0,"['Motorcycle', 'Car']",0,5.96,[],7,2025-01-01,Jan,1,"['Motorcycle', 'Car']"
Iż-Żejtun,2025-01-15,['Grievous'],False,,[],Wednesday,08:00,30,0.2000000029802322,0.0,0.2000000029802322,0.0,5960.0,80.0,['Motorcycle'],3,5.96,['Grievous'],8,2025-01-01,Jan,1,['Motorcycle']
Marsaskala,2025-06-12,[],True,,"['Collision', 'Accident']",Thursday,10:00,38,0.0,0.0,0.0,0.0,35860.0,1.0,"['Motorcycle', 'Car']",0,35.86,[],10,2025-06-01,Jun,6,"['Motorcycle', 'Car']"
L-Għarb,2025-09-20,['Grievous'],False,,"['Collision', 'Accident']",Saturday,13:30,30,0.0,0.0,0.0,0.0,52920.0,3.0,['Motorcycle'],3,52.92,['Grievous'],13,2025-09-01,Sep,9,['Motorcycle']
In-Naxxar,2024-12-11,['Grievous'],False,,['Accident'],Wednesday,11:15,60,0.0,0.0,0.0,0.0,40140.0,3.0,"['Pedestrian', 'Car']",3,40.14,['Grievous'],11,2024-12-01,Dec,12,"['Pedestrian', 'Car']"
Il-Fgura,2025-01-07,['Grievous'],False,,['Accident'],Tuesday,20:00,24,0.0,0.0,0.0,0.0,17060.0,3.0,['Car'],3,17.06,['Grievous'],20,2025-01-01,Jan,1,['Car']
Il-Fgura,2025-07-27,['Grievous'],True,,"['Collision', 'Accident']",Sunday,15:30,23,0.0,0.0,0.0,0.0,40700.0,1.0,['Car'],3,40.7,['Grievous'],15,2025-07-01,Jul,7,['Car']
L-Imsida,2025-05-26,['Serious'],False,,['Accident'],Monday,13:15,5,0.0,0.0,0.0,0.0,11360.0,1.0,"['Pedestrian', 'Vehicle', 'Car']",2,11.36,['Serious'],13,2025-05-01,May,5,"['Pedestrian', 'Vehicle', 'Car']"
Il-Qala,2025-10-02,['Grievous'],False,,"['Collision', 'Accident']",Thursday,05:30,53,0.0,0.0,0.0,0.0,72540.0,80.0,"['Motorcycle', 'Car']",3,72.54,['Grievous'],5,2025-10-01,Oct,10,"['Motorcycle', 'Car']"
Iż-Żurrieq,2025-01-15,['Grievous'],False,,['Accident'],Wednesday,19:30,63,0.4000000059604645,0.0,0.4000000059604645,0.0,9880.0,80.0,"['Pedestrian', 'Car']",3,9.88,['Grievous'],19,2025-01-01,Jan,1,"['Pedestrian', 'Car']"
Il-Mellieħa,2025-02-25,[],False,,['Accident'],Tuesday,14:15,50,0.0,0.0,0.0,0.0,12120.0,3.0,['Car'],0,12.12,[],14,2025-02-01,Feb,2,['Car']
Il-Mellieħa,2025-02-25,['Slight'],False,,[],Tuesday,23:45,23,0.0,0.0,0.0,0.0,12120.0,3.0,"['Motorcycle', 'Vehicle']",1,12.12,['Slight'],23,2025-02-01,Feb,2,"['Motorcycle', 'Vehicle']"
Raħal Ġdid,2025-04-26,['Grievous'],False,,['Accident'],Saturday,22:00,26,0.0,0.0,0.0,0.0,13860.0,3.0,['Motorcycle'],3,13.86,['Grievous'],22,2025-04-01,Apr,4,['Motorcycle']
Il-Mellieħa,2024-12-14,[],False,,['Accident'],Saturday,17:30,17,0.0,0.0,0.0,0.0,45800.0,3.0,"['Motorcycle', 'Pedestrian']",0,45.8,[],17,2024-12-01,Dec,12,"['Motorcycle', 'Pedestrian']"
