town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km
Ix-Xagħra,2025-05-03,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Saturday,17:00,74,0.0,0.0,0.0,0.0,71420.0,3.0,['Car'],3,71.42
Marsaxlokk,2025-07-14,[],False,,"['Collision', 'Accident']",Monday,11:00,30,0.0,0.0,0.0,0.0,59780.0,1.0,"['Motorcycle', 'Van', 'Car']",0,59.78
Il-Fgura,2025-08-31,['Grievous'],False,,['Accident'],Sunday,07:30,87,0.0,0.0,0.0,0.0,43100.0,0.0,"['Pedestrian', 'Car']",3,43.1
Ħaż-Żebbuġ,2025-02-09,['Grievous'],False,,['Accident'],Sunday,21:00,25,0.0,0.0,0.0,0.0,2940.0,95.0,"['Motorcycle', 'Van']",3,2.94
San Pawl Il-Baħar,2024-12-11,[],False,,['Accident'],Wednesday,17:00,54,0.0,0.0,0.0,0.0,30400.0,3.0,['Motorcycle'],0,30.4
Ħal Tarxien,2025-02-09,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Sunday,01:30,25,0.0,0.0,0.0,0.0,3360.0,95.0,"['Car', 'Vehicle']",3,3.36
Marsaxlokk,2025-04-13,['Grievous'],False,,['Accident'],Sunday,08:00,35,0.0,0.0,0.0,0.0,34580.0,3.0,['Car'],3,34.58
Ħaż-Żebbuġ,2025-08-27,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,18:30,32,0.0,0.0,0.0,0.0,14720.0,2.0,"['Motorcycle', 'Car']",3,14.72
Tas-Sliema,2025-01-23,['Grievous'],False,,"['Collision', 'Accident']",Thursday,18:00,47,0.0,0.0,0.0,0.0,29940.0,3.0,"['Motorcycle', 'Car']",3,29.94
Floriana,2025-06-22,['Serious'],False,,['Accident'],Sunday,13:15,57,0.0,0.0,0.0,0.0,50320.0,2.0,"['Pedestrian', 'Car']",2,50.32
Ħ'Attard,2025-02-05,['Grievous'],False,,['Accident'],Wednesday,09:00,52,0.0,0.0,0.0,0.0,5660.0,3.0,['Motorcycle'],3,5.66
In-Naxxar,2024-12-19,[],False,,['Accident'],Thursday,10:45,78,0.0,0.0,0.0,0.0,43520.0,3.0,['Car'],0,43.52
Ħaż-Żebbuġ,2025-03-16,"['Slight', 'Grievous']",False,,['Accident'],Sunday,08:00,68,0.0,0.0,0.0,0.0,33520.0,3.0,['Motorcycle'],3,33.52
Birkirkara,2025-07-18,['Grievous'],False,,"['Collision', 'Accident']",Friday,22:15,41,0.0,0.0,0.0,0.0,15260.0,2.0,"['Scooter', 'Car']",3,15.26
Tal-Pieta',2025-08-12,['Grievous'],False,,"['Collision', 'Accident']",Tuesday,07:00,62,0.0,0.0,0.0,0.0,20080.0,1.0,['Car'],3,20.08
